gene,sod
ALOX5AP,0.1652
RETREG1,0.1651
KRT7,0.164
FOXO1,0.1634
LINC01444,0.1622
EPSTI1,0.1613
CLMN,0.161
SH3TC1,0.1605
ALCAM,0.1588
MMP9,0.1585
LMO7-AS1,0.1583
UGT3A2,0.1581
DENND5B,0.158
SLA,0.1578
TG,0.1574
MASTL,0.1567
B3GALT4,0.1556
JADE1,0.1554
DCN,0.1551
RTP4,0.1538
ADAP1,0.1531
LGI3,0.1531
CDC25C,0.1519
PAQR5,0.1514
SBSN,0.1512
Z97200.1,0.1511
MIR210HG,0.1511
SESN2,0.151
IL10,0.1509
SPTLC3,0.1495
TCP11L2,0.1485
ORC1,0.1485
AC011611.4,0.1477
SMTN,0.147
TRIP6,0.1467
KCP,0.1464
TSHZ2,0.1453
ZGRF1,0.1445
STON1,0.1438
MATN1-AS1,0.1437
FBXO43,0.141
FGF2,0.1407
SIGLEC15,0.1404
MOXD1,0.1393
PPFIA2,0.1389
MGST1,0.1388
AMPD3,0.1387
SMAD7,0.1382
CFAP61,0.1378
CACNG7,0.1374
PRRT2,0.1371
CCBE1,0.1365
OIP5,0.1361
VAV3,0.136
CORO2B,0.1359
MYL10,0.1353
POU3F1,0.1353
FMNL1,0.1349
BMPER,0.1347
TOX3,0.1343
CAMTA1-DT,0.1335
TBC1D8,0.1333
MDGA1,0.1311
DYDC2,0.1307
C1RL,0.1307
EFNA5,0.1306
LTBP2,0.1301
CALB2,0.1299
CLDN11,0.1297
RAD54B,0.1297
GPAT3,0.1291
SPACA3,0.129
TINCR,0.1289
C9orf3,0.1284
PAK3,0.1282
ENPP2,0.1282
DUSP1,0.1278
KCTD12,0.1274
RAP1GAP,0.1273
CIITA,0.1273
KCNN2,0.1273
PTPRO,0.127
TMEM45A,0.1262
ATXN1,0.1259
ID3,0.1258
PLK4,0.1257
OR51B5,0.1254
APOD,0.125
PRKCB,0.1249
IL1RN,0.1249
MGP,0.1241
DLGAP1-AS2,0.124
DNMBP,0.1234
TTC39A,0.1232
ST8SIA5,0.1229
GASAL1,0.1221
ARHGEF39,0.1221
SLC4A8,0.1215
PCBP3,0.1207
PTPRD-AS1,0.12
KIAA1671,0.1198
AC090192.2,0.1193
GCNT1,0.1192
ACOX2,0.119
DNAJB9,0.1187
AKR1C3,0.1178
MTFR2,0.117
CRYM,0.1164
WNT5A-AS1,0.1164
DDX47,0.1159
TACC2,0.1157
PRKAG2-AS1,0.1157
TMPO-AS1,0.1153
CSGALNACT1,0.1151
NR1D1,0.1147
DDIAS,0.1146
DKK1,0.1144
RTN4R,0.1144
RASAL2-AS1,0.1144
P2RX6,0.1141
KCNMA1,0.1137
FGF7,0.1137
TICRR,0.1135
DSEL,0.1129
CSRNP1,0.1128
PLCH1-AS1,0.1127
HIST2H2BE,0.1124
AL353708.3,0.112
UCKL1-AS1,0.1117
NAT16,0.1115
MAP3K7CL,0.1112
BMP7,0.1112
AL451060.1,0.1109
IRAK2,0.1105
FZD2,0.1103
CCDC15,0.11
METTL7A,0.1088
RAB11FIP5,0.1086
OTOA,0.1085
KCNG1,0.1072
AC004130.1,0.1069
ALPK1,0.1065
ACTA2,0.1065
LINC00115,0.1063
GLT8D2,0.1063
NCEH1,0.1058
CD22,0.1041
LINC01615,0.1037
HIST2H2BF,0.1037
AC105446.1,0.1034
MYADM,0.1033
LINC00324,0.1032
PNMA1,0.1031
MGLL,0.1029
TRAF1,0.1018
AC239868.3,0.1013
SSC5D,0.1007
OSBPL5,0.1006
SLC31A2,0.1004
PLCL1,0.1004
MMP16,0.1
CST1,0.0996
GATA3,0.0994
TPM2,0.0992
AL139089.1,0.099
CDH2,0.0986
UTRN,0.0984
MIR3681HG,0.098
GDPD5,0.0977
ID1,0.0974
C15orf65,0.0973
DGKI,0.0966
DDR1,0.0965
LBH,0.0965
DENND2D,0.0959
PLA1A,0.0958
MPPED2,0.0958
CDCP1,0.0958
DNM1,0.0957
ALK,0.0955
AC044802.2,0.0952
AC023886.1,0.095
GRAMD1B,0.0947
SLAMF9,0.0945
CTSO,0.094
SPA17,0.094
COL17A1,0.0935
DNA2,0.0929
AC008124.1,0.0929
PPL,0.0926
PTGES,0.0925
NDUFA4L2,0.0923
NECTIN1,0.0919
FJX1,0.0917
AC124016.1,0.0914
PIM1,0.0914
CDK19,0.0912
CPN1,0.0911
GLI3,0.0908
CLMP,0.0907
LINC01583,0.0904
AC090409.1,0.0902
TRIM16L,0.0899
CPNE7,0.089
EIF4E3,0.0889
PLSCR4,0.0886
MARCH3,0.0883
DOK5,0.0882
ISM1,0.088
AL096865.1,0.0875
CRYBG1,0.0867
AL139220.2,0.0865
CCDC150,0.0862
HIST1H2BG,0.086
NBEA,0.0851
